table_name,column_name,data_type
quests,token_bounty,integer
profiles,avatar_index,integer
quests,created_at,timestamp with time zone
quests,latitude,double precision
quests,longitude,double precision
quests,accepted_by,uuid
user_avatars,user_id,uuid
comments,created_at,timestamp with time zone
notifications,id,uuid
notifications,created_at,timestamp with time zone
notifications,recipient_id,uuid
user_avatars,updated_at,timestamp with time zone
notifications,sender_id,uuid
profiles,token_balance,integer
profiles,xp_balance,integer
profiles,total_xp,integer
notifications,is_read,boolean
notifications,reference_id,uuid
quests,id,uuid
quests,user_id,uuid
profiles,created_at,timestamp with time zone
comments,id,uuid
comments,quest_id,uuid
comments,user_id,uuid
quests,bonus_xp,integer
profiles,id,uuid
user_avatars,bottom,text
user_avatars,top,text
user_avatars,eyes,text
user_avatars,mouth,text
user_avatars,hair_base,text
user_avatars,headgear,text
user_avatars,hair_fringe,text
user_avatars,accessory,text
user_avatars,left_hand,text
user_avatars,right_hand,text
profiles,first_name,text
profiles,last_name,text
profiles,email,text
profiles,avatar_url,text
profiles,display_name,text
profiles,major,text
profiles,graduation_year,text
profiles,bio,text
comments,content,text
notifications,type,text
notifications,title,text
notifications,description,text
quests,category,text
quests,title,text
quests,description,text
quests,location,text
quests,status,text
user_avatars,hat,text
user_avatars,head,text
user_avatars,effects,text
user_avatars,frame,text
user_avatars,pet,text
user_avatars,background,text
user_avatars,back_accessory,text
user_avatars,body,text
